Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Stefon Diggs,BUF,16,127,1535,12.09,95.9,55,8,73,166,464
Davante Adams,GB,14,115,1374,11.95,98.1,56t,18,73,149,597
DeAndre Hopkins,ARI,16,115,1407,12.23,87.9,60,6,75,160,528
Darren Waller,LV,16,107,1196,11.18,74.8,38t,9,69,145,572
Travis Kelce,KC,15,105,1416,13.49,94.4,45,11,79,145,583
Allen Robinson,CHI,16,102,1250,12.25,78.1,42,6,68,151,319
Keenan Allen,LAC,14,100,992,9.92,70.9,28,8,61,147,423
Tyler Lockett,SEA,16,100,1054,10.54,65.9,47t,10,57,132,327
JuJu Smith-Schuster,PIT,16,97,831,8.57,51.9,31t,9,48,128,409
Robby Anderson,CAR,16,95,1096,11.54,68.5,75t,3,49,136,497
Amari Cooper,DAL,16,92,1114,12.11,69.6,69,5,54,130,421
Cooper Kupp,LA,15,92,974,10.59,64.9,55t,3,45,124,510
Calvin Ridley,ATL,15,90,1374,15.27,91.6,63,9,65,143,275
Robert Woods,LA,16,90,936,10.4,58.5,56t,6,46,129,498
Justin Jefferson,MIN,16,88,1400,15.91,87.5,71t,7,58,125,457
Diontae Johnson,PIT,15,88,923,10.49,61.5,47,7,45,144,382
Tyreek Hill,KC,15,87,1276,14.67,85.1,75t,15,57,135,460
Terry McLaurin,WAS,15,87,1118,12.85,74.5,68t,4,51,134,468
Alvin Kamara,NO,15,83,756,9.11,50.4,52t,5,35,107,731
D.K. Metcalf,SEA,16,83,1303,15.7,81.4,62,10,63,129,363
Cole Beasley,BUF,15,82,967,11.79,64.5,35,4,53,107,352
Brandin Cooks,HOU,15,81,1150,14.2,76.7,57t,6,51,119,350
J.D. McKissic,WAS,16,80,589,7.36,36.8,29t,2,32,110,507
Tyler Boyd,CIN,15,79,841,10.65,56.1,72t,4,43,110,351
Curtis Samuel,CAR,15,77,851,11.05,56.7,44,3,39,97,315
Marvin Jones,DET,16,76,978,12.87,61.1,43t,9,52,115,196
CeeDee Lamb,DAL,16,74,935,12.64,58.4,52t,5,46,111,311
Adam Thielen,MIN,15,74,925,12.5,61.7,51,14,52,108,243
Russell Gage,ATL,16,72,786,10.92,49.1,35,4,50,109,286
Jarvis Landry,CLE,15,72,840,11.67,56,32,3,46,101,341
Logan Thomas,WAS,16,72,670,9.31,41.9,30,6,36,110,288
A.J. Brown,TEN,14,70,1075,15.36,76.8,73t,11,55,106,427
Mike Evans,TB,16,70,1006,14.37,62.9,50,13,55,109,258
Tee Higgins,CIN,16,67,908,13.55,56.8,67,6,52,108,306
T.J. Hockenson,DET,16,67,723,10.79,45.2,51,6,40,101,329
D.J. Moore,CAR,15,66,1193,18.08,79.5,74t,4,53,118,350
Sterling Shepard,NYG,12,66,656,9.94,54.7,29,3,37,90,204
Corey Davis,TEN,14,65,984,15.14,70.3,75t,5,49,92,291
Chris Godwin,TB,12,65,840,12.92,70,47,7,43,84,284
Evan Engram,NYG,16,63,654,10.38,40.9,53,1,32,109,287
Nyheim Hines,IND,16,63,482,7.65,30.1,29t,4,24,76,470
DeVante Parker,MIA,14,63,793,12.59,56.6,31,4,45,103,179
Dalton Schultz,DAL,16,63,615,9.76,38.4,28,4,33,89,279
Chase Claypool,PIT,16,62,873,14.08,54.6,84t,9,40,109,329
Noah Fant,DEN,15,62,673,10.85,44.9,37,3,34,93,381
Darnell Mooney,CHI,16,61,631,10.34,39.4,53,4,33,98,249
Emmanuel Sanders,NO,14,61,726,11.9,51.9,51,5,33,82,170
Brandon Aiyuk,SF,12,60,748,12.47,62.3,49,5,43,96,311
Hunter Henry,LAC,14,60,613,10.22,43.8,33,4,35,93,244
Jamison Crowder,NYJ,12,59,699,11.85,58.2,69t,6,32,89,316
Mike Davis,CAR,15,59,373,6.32,24.9,23,2,17,70,418
Michael Gallup,DAL,16,59,843,14.29,52.7,55,5,44,105,246
Jakobi Meyers,NE,14,59,729,12.36,52.1,35,0,37,81,216
Mark Andrews,BAL,14,58,701,12.09,50.1,39,7,37,88,182
Marquise Brown,BAL,16,58,769,13.26,48.1,70t,8,35,100,274
Laviska Shenault,JAX,14,58,600,10.34,42.9,36,5,33,79,298
Eric Ebron,PIT,15,56,558,9.96,37.2,27,5,30,91,192
T.Y. Hilton,IND,15,56,762,13.61,50.8,50,5,42,93,194
Hayden Hurst,ATL,16,56,571,10.2,35.7,42t,6,35,88,269
Hunter Renfrow,LV,16,56,656,11.71,41,53,2,32,77,338
Keelan Cole,JAX,16,55,642,11.67,40.1,51,5,34,88,175
Austin Ekeler,LAC,10,54,403,7.46,40.3,28,2,20,65,473
Larry Fitzgerald,ARI,13,54,409,7.57,31.5,18,1,25,72,185
David Montgomery,CHI,15,54,438,8.11,29.2,28t,2,25,68,396
D.J. Chark,JAX,13,53,706,13.32,54.3,73t,5,37,93,165
Chase Edmonds,ARI,16,53,402,7.58,25.1,30,4,21,67,330
Will Fuller,HOU,11,53,879,16.58,79.9,77t,8,38,75,291
Mike Gesicki,MIA,15,53,703,13.26,46.9,70,6,36,85,164
Greg Ward,PHI,16,53,419,7.91,26.2,32t,6,24,79,164
Ezekiel Elliott,DAL,15,52,338,6.5,22.5,19t,2,20,71,370
Jerry Jeudy,DEN,16,52,856,16.46,53.5,92t,3,39,113,284
Josh Reynolds,LA,16,52,618,11.88,38.6,40t,2,31,81,225
Robert Tonyan,GB,16,52,586,11.27,36.6,45,11,33,59,234
Julio Jones,ATL,9,51,771,15.12,85.7,44,3,36,68,231
Tim Patrick,DEN,15,51,742,14.55,49.5,61,6,33,79,238
Jimmy Graham,CHI,16,50,456,9.12,28.5,30,8,32,76,198
Darius Slayton,NYG,16,50,751,15.02,46.9,41t,3,40,96,154
Kendrick Bourne,SF,15,49,667,13.61,44.5,49t,2,35,74,219
Anthony Miller,CHI,16,49,485,9.9,30.3,34,2,23,76,148
James Robinson,JAX,14,49,344,7.02,24.6,28,3,15,60,387
James White,NE,14,49,375,7.65,26.8,34,1,20,62,411
Nelson Agholor,LV,16,48,896,18.67,56,85t,8,37,82,230
Christian Kirk,ARI,14,48,621,12.94,44.4,80t,6,30,79,175
George Kittle,SF,8,48,634,13.21,79.2,44t,2,32,63,294
Mike Williams,LAC,15,48,756,15.75,50.4,64t,5,35,85,162
Giovani Bernard,CIN,16,47,355,7.55,22.2,42,3,15,59,350
Damiere Byrd,NE,16,47,604,12.85,37.8,42t,1,29,77,172
A.J. Green,CIN,16,47,523,11.13,32.7,33,2,34,104,92
Aaron Jones,GB,14,47,355,7.55,25.4,30,2,15,63,365
Danny Amendola,DET,14,46,602,13.09,43,50,0,30,69,290
Dallas Goedert,PHI,11,46,524,11.39,47.6,41,3,28,65,206
Austin Hooper,CLE,13,46,435,9.46,33.5,36,4,27,70,174
D'Andre Swift,DET,13,46,357,7.76,27.5,26,2,15,57,351
Antonio Brown,TB,8,45,483,10.73,60.4,46t,4,27,62,251
Rob Gronkowski,TB,16,45,623,13.84,38.9,48,7,29,77,246
Demarcus Robinson,KC,16,45,466,10.36,29.1,28,3,26,59,173
Dalvin Cook,MIN,14,44,361,8.2,25.8,50t,1,17,54,443
Tyler Higbee,LA,15,44,521,11.84,34.7,44,5,27,60,238
Zach Pascal,IND,16,44,629,14.3,39.3,42t,5,29,71,233
Gerald Everett,LA,16,41,417,10.17,26.1,40,1,24,62,243
Myles Gaskin,MIA,10,41,388,9.46,38.8,59t,2,12,47,388
Mecole Hardman,KC,16,41,560,13.66,35,49t,4,23,62,285
Jonnu Smith,TEN,15,41,448,10.93,29.9,63,8,25,65,238
Chris Conley,JAX,15,40,471,11.78,31.4,51,2,24,63,180
Michael Pittman,IND,13,40,503,12.58,38.7,45t,1,22,61,293
Drew Sample,CIN,16,40,349,8.73,21.8,23,1,16,53,193
Michael Thomas,NO,7,40,438,10.95,62.6,24,0,25,55,82
Anthony Firkser,TEN,16,39,387,9.92,24.2,45,1,26,53,147
Randall Cobb,HOU,10,38,441,11.61,44.1,34,3,20,48,165
Travis Fulgham,PHI,13,38,539,14.18,41.5,42t,4,26,67,100
Kareem Hunt,CLE,16,38,304,8,19,26,5,19,51,280
Devin Singletary,BUF,16,38,269,7.08,16.8,34,0,8,50,259
Jordan Akins,HOU,13,37,403,10.89,31,26,1,20,49,172
Braxton Berrios,NYJ,16,37,394,10.65,24.6,43t,3,19,55,216
Chris Carson,SEA,12,37,287,7.76,23.9,29,4,14,46,247
Jared Cook,NO,15,37,504,13.62,33.6,46,7,27,60,121
Rashard Higgins,CLE,13,37,599,16.19,46.1,43,4,26,52,82
Sammy Watkins,KC,10,37,421,11.38,42.1,37,2,27,55,157
Clyde Edwards-Helaire,KC,13,36,297,8.25,22.9,26,1,12,54,296
Tyler Eifert,JAX,15,36,349,9.69,23.3,28,2,22,60,119
Zach Ertz,PHI,11,36,335,9.31,30.4,42,1,16,72,88
Leonard Fournette,TB,13,36,233,6.47,17.9,20,0,9,47,235
Antonio Gibson,WAS,14,36,247,6.86,17.6,40,0,9,44,298
Jakeem Grant,MIA,14,36,373,10.36,26.6,30,1,22,54,167
Jonathan Taylor,IND,15,36,299,8.31,19.9,39t,1,12,39,367
James Conner,PIT,13,35,215,6.14,16.5,18,0,10,43,230
Gabriel Davis,BUF,16,35,599,17.11,37.4,56t,7,27,62,131
David Moore,SEA,16,35,417,11.91,26.1,57,6,18,47,169
Golden Tate,NYG,12,35,388,11.09,32.3,39t,2,19,52,82
Tre'Quan Smith,NO,14,34,448,13.18,32,31,4,22,50,139
John Brown,BUF,9,33,458,13.88,50.9,46t,3,22,52,177
Keke Coutee,HOU,8,33,400,12.12,50,64,3,18,40,148
N'Keal Harry,NE,14,33,309,9.36,22.1,30,2,15,57,105
Josh Jacobs,LV,15,33,238,7.21,15.9,29,0,9,45,238
David Johnson,HOU,12,33,314,9.52,26.2,32,2,16,46,235
Allen Lazard,GB,10,33,451,13.67,45.1,72,3,23,46,195
Jerick McKinnon,SF,16,33,253,7.67,15.8,26,1,12,46,178
Scott Miller,TB,16,33,501,15.18,31.3,48t,3,20,53,101
Deebo Samuel,SF,7,33,391,11.85,55.9,35,1,19,44,398
Willie Snead,BAL,13,33,432,13.09,33.2,34,3,23,48,187
Marquez Valdes-Scantling,GB,16,33,690,20.91,43.1,78t,6,27,63,254
Melvin Gordon,DEN,15,32,158,4.94,10.5,20,1,7,44,167
Cam Sims,WAS,16,32,477,14.91,29.8,50,1,18,48,249
Mo Alie-Cox,IND,15,31,394,12.71,26.3,45,2,19,39,182
Dan Arnold,ARI,16,31,438,14.13,27.4,59t,4,24,45,166
Chris Herndon IV,NYJ,16,31,287,9.26,17.9,26,3,17,45,128
Jalen Reagor,PHI,11,31,396,12.77,36,55,1,19,54,183
Jamaal Williams,GB,14,31,236,7.61,16.9,29,1,11,35,219
KJ Hamler,DEN,13,30,381,12.7,29.3,49t,3,17,56,124
Isaiah McKenzie,BUF,16,30,282,9.4,17.6,46,5,17,34,180
Breshad Perriman,NYJ,12,30,505,16.83,42.1,53,3,20,60,160
Irv Smith,MIN,13,30,365,12.17,28.1,36,5,22,43,126
James Washington,PIT,16,30,392,13.07,24.5,50t,5,19,56,151
Kalen Ballage,NYJ/LAC,11,29,166,5.72,15.1,21,0,5,37,213
Lynn Bowden,MIA,10,28,211,7.54,21.1,22,0,13,37,112
Cameron Brate,TB,16,28,282,10.07,17.6,25,2,17,34,71
Trey Burton,IND,13,28,250,8.93,19.2,20,3,14,47,77
