RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK
1,1,Christian McCaffrey,CAR,RB1,13
2,1,Dalvin Cook,MIN,RB2,7
3,1,Derrick Henry,TEN,RB3,13
4,1,Alvin Kamara,NO,RB4,6
5,1,Saquon Barkley,NYG,RB5,10
6,1,Ezekiel Elliott,DAL,RB6,7
7,1,Jonathan Taylor,IND,RB7,14
8,2,Tyreek Hill,KC,WR1,12
9,2,Nick Chubb,CLE,RB8,13
10,2,Davante Adams,GB,WR2,13
11,2,Stefon Diggs,BUF,WR3,7
12,2,Aaron Jones,GB,RB9,13
13,2,Travis Kelce,KC,TE1,12
14,2,DeAndre Hopkins,ARI,WR4,12
15,2,Calvin Ridley,ATL,WR5,6
16,2,Austin Ekeler,LAC,RB10,7
17,2,Cam Akers,LAR,RB11,11
18,2,D.K. Metcalf,SEA,WR6,9
19,2,Joe Mixon,CIN,RB12,10
20,2,A.J. Brown,TEN,WR7,13
21,3,Antonio Gibson,WAS,RB13,9
22,3,Justin Jefferson,MIN,WR8,7
23,3,Najee Harris,PIT,RB14,7
24,3,Michael Thomas,NO,WR9,6
25,3,Keenan Allen,LAC,WR10,7
26,3,Clyde Edwards-Helaire,KC,RB15,12
27,3,Patrick Mahomes II,KC,QB1,12
28,3,Allen Robinson II,CHI,WR11,10
29,3,Terry McLaurin,WAS,WR12,9
30,3,George Kittle,SF,TE2,6
31,3,D'Andre Swift,DET,RB16,9
32,3,J.K. Dobbins,BAL,RB17,8
33,3,Darren Waller,LV,TE3,8
34,3,Chris Carson,SEA,RB18,9
35,3,Miles Sanders,PHI,RB19,14
36,3,David Montgomery,CHI,RB20,10
37,4,Mike Evans,TB,WR13,9
38,4,Amari Cooper,DAL,WR14,7
39,4,Chris Godwin,TB,WR15,9
40,4,CeeDee Lamb,DAL,WR16,7
41,4,Julio Jones,TEN,WR17,13
42,4,Robert Woods,LAR,WR18,11
43,4,Josh Jacobs,LV,RB21,8
44,4,Josh Allen,BUF,QB2,7
45,4,D.J. Moore,CAR,WR19,13
46,4,Myles Gaskin,MIA,RB22,14
47,4,Adam Thielen,MIN,WR20,7
48,4,Kareem Hunt,CLE,RB23,13
49,4,Mike Davis,ATL,RB24,6
50,4,Cooper Kupp,LAR,WR21,11
51,4,T.J. Hockenson,DET,TE4,9
52,4,Diontae Johnson,PIT,WR22,7
53,4,Mark Andrews,BAL,TE5,8
54,4,Travis Etienne,JAC,RB25,7
55,4,Kyler Murray,ARI,QB3,12
56,4,Lamar Jackson,BAL,QB4,8
57,4,Kenny Golladay,NYG,WR23,10
58,4,Dak Prescott,DAL,QB5,7
59,5,Tyler Lockett,SEA,WR24,9
60,5,Chase Edmonds,ARI,RB26,12
61,5,Kyle Pitts,ATL,TE6,6
62,5,Brandon Aiyuk,SF,WR25,6
63,5,Melvin Gordon III,DEN,RB27,11
64,5,Raheem Mostert,SF,RB28,6
65,5,Tee Higgins,CIN,WR26,10
66,5,Javonte Williams,DEN,RB29,11
67,5,Ja'Marr Chase,CIN,WR27,10
68,5,James Robinson,JAC,RB30,7
69,5,Odell Beckham Jr.,CLE,WR28,13
70,5,Russell Wilson,SEA,QB6,9
71,5,Ronald Jones II,TB,RB31,9
72,5,Damien Harris,NE,RB32,14
73,5,Courtland Sutton,DEN,WR29,11
74,5,Justin Herbert,LAC,QB7,7
75,5,Aaron Rodgers,GB,QB8,13
76,5,D.J. Chark Jr.,JAC,WR30,7
77,5,Chase Claypool,PIT,WR31,7
78,5,Dallas Goedert,PHI,TE7,14
79,5,David Johnson,HOU,RB33,10
80,5,Leonard Fournette,TB,RB34,9
81,5,Noah Fant,DEN,TE8,11
82,5,JuJu Smith-Schuster,PIT,WR32,7
83,6,James Conner,ARI,RB35,12
84,6,Robby Anderson,CAR,WR33,13
85,6,Zack Moss,BUF,RB36,7
86,6,Deebo Samuel,SF,WR34,6
87,6,Tom Brady,TB,QB9,9
88,6,Brandin Cooks,HOU,WR35,10
89,6,Jalen Hurts,PHI,QB10,14
90,6,Will Fuller V,MIA,WR36,14
91,6,Tyler Boyd,CIN,WR37,10
92,6,Kenyan Drake,LV,RB37,8
93,6,Michael Carter,NYJ,RB38,6
94,6,Logan Thomas,WAS,TE9,9
95,6,Jerry Jeudy,DEN,WR38,11
96,6,Ryan Tannehill,TEN,QB11,13
97,6,Curtis Samuel,WAS,WR39,9
98,6,Robert Tonyan,GB,TE10,13
99,6,Matthew Stafford,LAR,QB12,11
100,6,Trey Sermon,SF,RB39,6
101,6,Gus Edwards,BAL,RB40,8
102,6,AJ Dillon,GB,RB41,13
103,6,DeVonta Smith,PHI,WR40,14
104,6,Jarvis Landry,CLE,WR41,13
105,6,Joe Burrow,CIN,QB13,10
106,6,Devin Singletary,BUF,RB42,7
107,6,Tony Pollard,DAL,RB43,7
108,6,Mike Gesicki,MIA,TE11,14
109,6,Jamaal Williams,DET,RB44,9
110,6,Nyheim Hines,IND,RB45,14
111,6,Latavius Murray,NO,RB46,6
112,6,Tyler Higbee,LAR,TE12,11
113,6,Laviska Shenault Jr.,JAC,WR42,7
114,6,Irv Smith Jr.,MIN,TE13,7
115,6,Corey Davis,NYJ,WR43,6
116,6,DeVante Parker,MIA,WR44,14
117,6,Darrell Henderson,LAR,RB47,11
118,6,Marquise Brown,BAL,WR45,8
119,7,Antonio Brown,TB,WR46,9
120,7,Michael Gallup,DAL,WR47,7
121,7,Matt Ryan,ATL,QB14,6
122,7,Mike Williams,LAC,WR48,7
123,7,Tarik Cohen,CHI,RB48,10
124,7,Marvin Jones Jr.,JAC,WR49,7
125,7,Michael Pittman Jr.,IND,WR50,14
126,7,Evan Engram,NYG,TE14,10
127,7,Trevor Lawrence,JAC,QB15,7
128,7,Jonnu Smith,NE,TE15,14
129,7,Phillip Lindsay,HOU,RB49,10
130,7,J.D. McKissic,WAS,RB50,9
131,7,Hunter Henry,NE,TE16,14
132,7,Kirk Cousins,MIN,QB16,7
133,7,Rob Gronkowski,TB,TE17,9
134,7,Jaylen Waddle,MIA,WR51,14
135,7,T.Y. Hilton,IND,WR52,14
136,7,Alexander Mattison,MIN,RB51,7
137,7,Cole Beasley,BUF,WR53,7
138,7,James White,NE,RB52,14
139,7,Blake Jarwin,DAL,TE18,7
140,7,Darnell Mooney,CHI,WR54,10
141,7,Rashaad Penny,SEA,RB53,9
142,7,Cole Kmet,CHI,TE19,10
143,7,Baker Mayfield,CLE,QB17,13
144,7,Austin Hooper,CLE,TE20,13
145,7,Carson Wentz,IND,QB18,14
146,7,Jalen Reagor,PHI,WR55,14
147,7,Nelson Agholor,NE,WR56,14
